1747588449.3653405,0.69,161.61
1747588449.368079,0.03,-0.01,-0.01,0.05,0.05,-0.08,-12.45,-69.98,161.59
1747588449.3713915,0.03,-0.0,-0.0,0.11,-0.01,-0.01,-0.19,-0.01,0.04,-12.03,-70.69,161.61
1747588449.3739939,0.03,-0.01,-0.01,0.05,0.05,-0.08,-12.45,-69.98,161.59
1747588450.3751655,0.03,-0.0,-0.0,0.11,-0.01
1747588466.6843233,0.03,-0.0,-0.01,0.1,-0.14,0.01,0.0,0.0,0.0
1747588466.7447488,0.03,-0.01,-0.01,0.04,-0.07,-0.05,-0.02,-0.14,0.31
1747588466.8064258,0.03,-0.01,-0.0,-0.03,-0.07,-0.11,-0.06,-0.44,0.93
1747588466.864163,0.03,-0.0,-0.01,-0.03,-0.07,0.26,-0.1,-0.88,1.89
1747588466.9165082,0.03,-0.0,-0.01,0.1,0.23,-0.17,-0.15,-1.43,3.16
1747588466.9786577,0.03,-0.01,-0.0,-0.03,0.11,0.01,-0.33,-2.14,4.77
1747588467.0353808,0.03,-0.01,-0.01,0.04,-0.07,-0.11,-0.49,-3.0,6.75
1747588467.093211,0.03,-0.0,-0.01,0.16,0.11,-0.05,-0.61,-4.09,9.13
1747588467.150821,0.03,-0.0,-0.0,0.16,0.05,-0.05,-0.65,-5.55,11.93
1747588467.2120705,0.03,-0.01,-0.01,0.04,-0.07,-0.11,-0.86,-7.07,15.16
1747588467.2696183,0.03,-0.01,-0.01,0.04,-0.01,0.01,-1.15,-8.6,18.86
1747588467.326468,0.03,-0.01,-0.01,-0.09,0.11,-0.17,-1.49,-10.47,23.02
1747588467.3877847,0.03,-0.0,-0.01,-0.21,0.05,-0.05,-1.53,-12.78,27.66
1747588467.4457664,0.03,-0.01,-0.01,-0.21,-0.26,-0.11,-1.93,-15.15,32.78
1747588467.502151,0.09,-0.1,-0.02,2.84,2.12,-25.56,-3.55,-16.31,36.92
1747588467.563982,-0.0,0.05,-0.01,-0.45,-1.05,-7.98,-0.31,-16.11,42.54
1747588467.6170437,0.04,0.01,-0.05,-5.21,6.82,-1.39,-0.27,-17.16,48.95
1747588467.674321,-0.02,0.04,-0.06,-3.44,6.7,0.38,1.24,-15.76,55.81
1747588467.7361834,0.06,-0.0,-0.1,-0.33,21.17,-0.47,1.15,-15.64,63.0
1747588467.7973747,0.02,-0.07,-0.04,29.33,25.19,-20.98,-0.25,-14.7,69.26
1747588467.855742,-0.02,0.03,-0.1,-6.74,-21.19,-14.09,0.4,-14.81,76.11
1747588467.912366,0.0,-0.04,-0.09,-2.16,3.59,-12.62,-1.22,-14.2,83.24
1747588467.9686956,0.05,-0.04,-0.02,-1.92,-9.23,-9.45,-3.51,-17.34,90.61
1747588468.0267916,0.06,-0.01,0.01,-11.38,-8.62,-7.55,-4.84,-22.33,98.05
1747588468.0922213,0.03,-0.04,-0.01,-14.49,-19.06,-15.31,-8.98,-25.22,105.01
1747588468.149997,-0.22,0.05,-0.03,0.16,-18.93,-16.59,-7.67,-19.32,111.52
1747588468.2116003,-2.5,1.07,-0.43,-20.29,18.48,-0.96,-6.65,-12.1,118.74
1747588468.2690916,0.75,-0.18,-0.73,-15.96,117.17,90.77,-7.86,-8.5,130.57
1747588468.3304412,1.29,-0.74,0.93,-50.81,26.11,77.71,-12.1,-10.48,140.92
1747588468.3881488,0.64,-0.1,0.44,-13.09,6.58,41.76,-12.59,-14.13,148.7
1747588468.4451585,-0.01,0.0,-0.17,-3.08,7.56,-7.31,-11.78,-12.64,153.18
1747588468.5059981,-0.09,-0.09,-0.05,10.72,18.24,-2.55,-13.81,-7.24,157.58
